state_scid,school_name,district,county,locale,charter,magnet,title_1,num_students,pct_erw_benchmark_met_12,pct_math_benchmark_met_12,pct_erw_benchmark_met_11,pct_math_benchmark_met_11,pct_both_benchmarks_met_12,pct_both_benchmarks_11,free_reduced_lunch,sat_participation_rate
19647740109538.0,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles County,Suburb: Large,No,No,Yes,1635.0,54.29,19.05,39.78,12.98,17.14,11.05,0.9051987767584098,0.5874213836477987
49709204930244.0,Maria Carrillo High,Santa Rosa High,Sonoma County,City: Midsize,No,No,No,1480.0,91.92,86.87,96.35,92.7,84.85,91.24,0.1885135135135135,0.3172043010752688
27660920111435.0,Marina High,Monterey Peninsula Unified,Monterey County,Suburb: Midsize,No,No,No,594.0,74.36,41.03,64.29,45.24,39.74,42.86,0.6414141414141414,0.44609665427509293
30665483034410.0,Marina High,Huntington Beach Union High,Orange County,Suburb: Large,No,No,No,2411.0,91.84,77.55,95.17,87.92,75.51,85.02,0.2583990045624222,0.33611342785654713
22655322235356.0,Mariposa County High,Mariposa County Unified,Mariposa County,Rural: Remote,No,No,Yes,475.0,91.67,75.0,89.74,89.74,72.22,87.18,0.5726315789473684,0.2964426877470356
19757131934553.0,Mark Keppel High,Alhambra Unified,Los Angeles County,Suburb: Large,No,No,Yes,2248.0,89.59,85.5,92.63,90.88,79.93,87.72,0.583185053380783,0.4863915715539947
38684783830403.0,Marshall (Thurgood) High,San Francisco Unified,San Francisco County,City: Large,No,No,Yes,509.0,21.57,23.53,23.64,16.36,15.69,12.73,0.5776031434184676,0.4690265486725664
19648811931674.0,Marshall Fundamental,Pasadena Unified,Los Angeles County,City: Midsize,No,No,Yes,1925.0,72.15,45.57,79.26,51.85,43.04,50.37,0.7205194805194806,0.549718574108818
33672153330859.0,Martin Luther King Jr. High,Riverside Unified,Riverside County,City: Large,No,No,No,3058.0,80.36,67.26,91.30,86.23,63.39,83.33,0.34761281883584044,0.4163265306122449
58727365835202.0,Marysville High,Marysville Joint Unified,Yuba County,Suburb: Midsize,No,No,Yes,971.0,80.0,54.0,88.24,70.59,52.0,67.65,0.7198764160659115,0.20388349514563106
19647330122333.0,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,570.0,65.0,33.33,61.07,36.64,31.67,32.82,0.9228070175438596,0.7490196078431373
19643031935618.0,Mayfair High,Bellflower Unified,Los Angeles County,Suburb: Large,No,No,No,2856.0,81.37,53.42,83.72,68.22,50.31,64.34,0.5532212885154062,0.3111587982832618
